"(7501.5, 136477.05)","(-31.337198, -54.028026)"
"(7669.94, 136462.85)","(-31.337326, -54.026256)"
"(7919.07, 136450.66)","(-31.337436, -54.023638)"
"(8611.3, 136428.26)","(-31.337638, -54.016364)"
"(8641.94, 136434.36)","(-31.337583, -54.016042)"
"(8668.41, 136444.56)","(-31.337491, -54.015764)"
"(8692.99, 136479.04)","(-31.33718, -54.015506)"
"(8709.37, 136497.34)","(-31.337015, -54.015334)"
"(8735.93, 136497.34)","(-31.337015, -54.015055)"
"(8929.8, 136405.98)","(-31.337839, -54.013017)"
"(9062.55, 136405.98)","(-31.337839, -54.011622)"
"(9164.69, 136428.26)","(-31.337638, -54.010549)"
"(9209.6, 136428.26)","(-31.337638, -54.010077)"
"(9332.07, 136409.97)","(-31.337803, -54.00879)"
"(9640.39, 136393.78)","(-31.337949, -54.00555)"
"(9734.33, 136401.87)","(-31.337876, -54.004563)"
"(10183.58, 136381.58)","(-31.338059, -53.999842)"
"(10765.74, 136409.3)","(-31.337809, -53.993725)"
"(10951.56, 136554.22)","(-31.336502, -53.991774)"
"(11941.25, 137346.64)","(-31.329355, -53.981384)"
"(11969.65, 137378.79)","(-31.329065, -53.981086)"
"(11979.63, 137368.93)","(-31.329154, -53.980981)"
"(12014.08, 137443.88)","(-31.328478, -53.98062)"
"(12027.43, 137385.56)","(-31.329004, -53.980479)"
"(12044.94, 137388.33)","(-31.328979, -53.980295)"
"(12062.66, 137486.9)","(-31.32809, -53.98011)"
"(12085.01, 137388.0)","(-31.328982, -53.979874)"
"(12106.14, 137385.67)","(-31.329003, -53.979652)"
"(12115.15, 137445.43)","(-31.328464, -53.979558)"
"(12148.31, 137396.53)","(-31.328905, -53.979209)"
"(12153.71, 137369.81)","(-31.329146, -53.979152)"
"(12162.76, 137378.46)","(-31.329068, -53.979057)"
"(12199.08, 137344.42)","(-31.329375, -53.978675)"
"(13609.33, 136287.78)","(-31.338905, -53.963843)"
"(14901.57, 135348.0)","(-31.347381, -53.95025)"
"(15471.31, 134861.26)","(-31.351771, -53.944255)"
"(16934.01, 133581.31)","(-31.363315, -53.928861)"
"(17743.23, 132879.25)","(-31.369647, -53.920343)"
"(18500.92, 132205.45)","(-31.375724, -53.912366)"
"(18946.28, 131823.6)","(-31.379168, -53.907677)"
"(19105.96, 131701.52)","(-31.380269, -53.905996)"
"(19235.46, 131614.93)","(-31.38105, -53.904633)"
"(19372.19, 131535.32)","(-31.381768, -53.903194)"
"(19764.29, 131339.18)","(-31.383537, -53.899068)"
"(20560.3, 130928.6)","(-31.38724, -53.890691)"
"(21160.71, 130661.06)","(-31.389653, -53.884373)"
"(21340.17, 130606.51)","(-31.390145, -53.882485)"
"(21531.0, 130577.24)","(-31.390409, -53.880478)"
"(22294.9, 130509.38)","(-31.391021, -53.872445)"
"(22834.18, 130463.81)","(-31.391432, -53.866774)"
"(23113.96, 130443.74)","(-31.391613, -53.863832)"
"(23278.01, 130439.09)","(-31.391655, -53.862107)"
"(23465.59, 130444.96)","(-31.391602, -53.860135)"
"(23973.32, 130498.18)","(-31.391122, -53.854798)"
"(24566.82, 130578.57)","(-31.390397, -53.84856)"
"(24771.73, 130596.53)","(-31.390235, -53.846406)"
"(24902.9, 130597.86)","(-31.390223, -53.845027)"
"(25047.16, 130587.22)","(-31.390319, -53.84351)"
"(25199.57, 130562.71)","(-31.39054, -53.841907)"
"(25513.09, 130499.62)","(-31.391109, -53.838609)"
"(26219.97, 130346.95)","(-31.392486, -53.831173)"
"(26633.48, 130262.9)","(-31.393244, -53.826823)"
"(26869.08, 130227.98)","(-31.393559, -53.824345)"
"(28366.77, 130086.06)","(-31.394839, -53.808594)"
